Name,Typ,DurchsatzProStunde,Werkstoff,Werkzeuge,Bearbeitungsart
Maschine 1,Drehmaschine,6455,"Metall,Kunststoff,Stein","Walzfräser,Messer,Bohrer",Drehen
Maschine 2,Schleifmaschine,5628,"Metall,Stein",Schleifpapier,Schleifen
Maschine 3,Presse,802,"Kunststoff,Metall",Messer,Stanzen
Maschine 4,3D-Drucker,8952,Kunststoff,Duese,3D-Drucken
Maschine 5,CNC-Fräse,9730,"Metall,Kunststoff,Holz","Walzfräser,Bohrer,Prismenfräser","Schneiden,Fräsen"
Maschine 6,3D-Drucker,1844,Kunststoff,Duese,3D-Drucken
Maschine 7,Lackiermaschine,9951,Stein,Lackierpistole,Lackieren
Maschine 8,Schleifmaschine,8326,"Holz,Kunststoff",Schleifpapier,Schleifen
Maschine 9,CNC-Fräse,8436,"Stein,Kunststoff,Holz",Walzfräser,"Fräsen,Schneiden"
Maschine 10,Roboterarm,2763,"Glas,Kunststoff",Messer,"Bohren,Schleifen"
Maschine 11,Laserschneidmaschine,5092,"Holz,Glas,Metall",Heizelement,"Fräsen,Stanzen"
Maschine 12,3D-Drucker,3163,Metall,Greifer,3D-Drucken
Maschine 13,Wasserstrahlschneidmaschine,3122,Metall,Wasserstrahl,Schneiden
Maschine 14,Lackiermaschine,9969,"Kunststoff,Holz,Metall",Lackierpistole,Lackieren
Maschine 15,Druckmaschine,6781,"Holz,Keramik","Lackierpistole,Heizelement,Tintenstrahl",Drucken
Maschine 16,Druckmaschine,7756,Keramik,"Laser,Lackierpistole,Heizelement",Drucken
Maschine 17,Wasserstrahlschneidmaschine,9393,"Kunststoff,Holz,Verbundwerkstoff",Wasserstrahl,Schneiden
Maschine 18,Drehmaschine,8674,"Stein,Metall",Prismenfräser,Drehen
Maschine 19,3D-Drucker,5982,Metall,Greifer,3D-Drucken
Maschine 20,CNC-Fräse,5854,"Metall,Kunststoff,Stein",Prismenfräser,"Drehen,Drehen"
Maschine 21,Druckmaschine,5299,Keramik,"Lackierpistole,Laser,Tintenstrahl",Drucken
Maschine 22,Wasserstrahlschneidmaschine,9469,"Verbundwerkstoff,Holz",Wasserstrahl,Schneiden
Maschine 23,Druckmaschine,6813,"Papier,Holz","Tintenstrahl,Lackierpistole,Heizelement",Lackieren
Maschine 24,Schleifmaschine,5488,"Stein,Kunststoff",Schleifpapier,Schleifen
Maschine 25,Laserschneidmaschine,582,"Stein,Holz,Kunststoff",Heizelement,"Bohren,Stanzen"
Maschine 26,Verpackungsmaschine,7692,Kunststoff,Foerderband,Transportieren
Maschine 27,Laserschneidmaschine,399,Stein,Heizelement,"Fräsen,Bohren,Stanzen"
Maschine 28,Lackiermaschine,9944,"Glas,Kunststoff,Metall",Lackierpistole,Lackieren
Maschine 29,3D-Drucker,7996,Kunststoff,Duese,3D-Drucken
Maschine 30,Schleifmaschine,2302,Stein,Schleifpapier,Schleifen
Maschine 31,Wasserstrahlschneidmaschine,8058,Beton,Wasserstrahl,Schneiden
Maschine 32,CNC-Fräse,7331,Kunststoff,Walzfräser,Schneiden
Maschine 33,Verpackungsmaschine,8952,Kunststoff,Foerderband,Biegen
Maschine 34,Roboterarm,4460,"Keramik,Glas,Textil","Wasserstrahl,Schleifpapier",Biegen
Maschine 35,Spritzgussmaschine,7333,Metall,Duese,Giessen
Maschine 36,Drehmaschine,3906,"Metall,Holz","Walzfräser,Bohrer,Prismenfräser",Drehen
Maschine 37,Druckmaschine,2640,Papier,"Laser,Tintenstrahl",Drucken
Maschine 38,Spritzgussmaschine,928,Metall,Duese,Giessen
Maschine 39,Laserschneidmaschine,5297,"Kunststoff,Holz,Stein",Heizelement,Stanzen
Maschine 40,Roboterarm,506,Glas,"Greifer,Wasserstrahl",Biegen
Maschine 41,Drehmaschine,2112,Kunststoff,Walzfräser,Drehen
Maschine 42,Roboterarm,3301,"Keramik,Verbundwerkstoff,Papier","Wolframelektrode,Schleifpapier",Schleifen
Maschine 43,Lackiermaschine,4744,"Metall,Stein",Lackierpistole,Lackieren
Maschine 44,Spritzgussmaschine,2354,Metall,Duese,Giessen
Maschine 45,FTS,143,Glas,Greifer,Transportieren
Maschine 46,Laserschneidmaschine,5664,"Glas,Verbundwerkstoff",Heizelement,"Fräsen,Stanzen,Schneiden"
Maschine 47,Wasserstrahlschneidmaschine,4590,"Holz,Metall,Glas",Wasserstrahl,Schneiden
Maschine 48,Spritzgussmaschine,856,Metall,Duese,Giessen
Maschine 49,Schleifmaschine,6408,"Holz,Stein,Kunststoff",Schleifpapier,Schleifen
Maschine 50,Spritzgussmaschine,4145,Metall,Duese,Giessen
Maschine 51,Roboterarm,3253,"Textil,Holz,Kunststoff","Elektrode,Schleifpapier,Greifer","Fräsen,Schleifen"
Maschine 52,CNC-Fräse,2644,Kunststoff,"Bohrer,Prismenfräser","Schneiden,Schleifen"
Maschine 53,Presse,9678,"Metall,Kunststoff",Messer,Pressen
Maschine 54,FTS,7974,Beton,Greifer,Transportieren
Maschine 55,Roboterarm,9285,"Holz,Kunststoff,Glas","Wasserstrahl,Lackierpistole,Wolframelektrode","Transportieren,Biegen"
Maschine 56,Presse,7817,"Kunststoff,Holz,Metall",Messer,Stanzen
Maschine 57,Roboterarm,2617,Textil,"Bohrer,Messer","Drehen,Bohren,Lackieren"
Maschine 58,Presse,8647,"Kunststoff,Holz",Messer,Stanzen
Maschine 59,Lackiermaschine,7849,Kunststoff,Lackierpistole,Lackieren
Maschine 60,Spritzgussmaschine,3565,Metall,Duese,Giessen
Maschine 61,Schleifmaschine,7054,"Kunststoff,Stein",Schleifpapier,Schleifen
Maschine 62,Verpackungsmaschine,6277,Kunststoff,Foerderband,Transportieren
Maschine 63,Schleifmaschine,5982,Metall,Schleifpapier,Schleifen
Maschine 64,Lackiermaschine,1094,"Kunststoff,Metall,Stein",Lackierpistole,Lackieren
Maschine 65,Schleifmaschine,4679,"Holz,Metall",Schleifpapier,Schleifen
Maschine 66,Lackiermaschine,3563,"Verbundwerkstoff,Stein,Kunststoff",Lackierpistole,Lackieren
Maschine 67,Schleifmaschine,8399,Metall,Schleifpapier,Schleifen
Maschine 68,Schleifmaschine,4903,Metall,Schleifpapier,Schleifen
Maschine 69,CNC-Fräse,2653,"Metall,Stein,Kunststoff","Prismenfräser,Walzfräser,Bohrer",Drehen
Maschine 70,Roboterarm,1664,"Keramik,Verbundwerkstoff","Wolframelektrode,Wasserstrahl,Greifer",3D-Drucken
Maschine 71,Laserschneidmaschine,1943,"Stein,Verbundwerkstoff",Laser,"Schneiden,Fräsen"
Maschine 72,FTS,9774,"Kunststoff,Textil,Glas",Greifer,Transportieren
Maschine 73,Presse,155,Holz,Messer,Pressen
Maschine 74,Laserschneidmaschine,5177,Metall,Laser,Stanzen
Maschine 75,Spritzgussmaschine,7561,Metall,Duese,Giessen
Maschine 76,3D-Drucker,2496,Metall,Duese,3D-Drucken
Maschine 77,CNC-Fräse,8009,Metall,"Bohrer,Prismenfräser,Walzfräser","Schleifen,Schneiden"
Maschine 78,Lackiermaschine,467,"Holz,Stein,Glas",Lackierpistole,Lackieren
Maschine 79,3D-Drucker,8590,Metall,Greifer,3D-Drucken
Maschine 80,Laserschneidmaschine,254,Kunststoff,Heizelement,"Fräsen,Schneiden"
Maschine 81,Verpackungsmaschine,7800,Papier,Foerderband,Transportieren
Maschine 82,FTS,2784,Holz,Greifer,Transportieren
Maschine 83,Laserschneidmaschine,2476,"Metall,Holz,Stein",Laser,Bohren
Maschine 84,FTS,4893,"Stein,Textil",Greifer,Transportieren
Maschine 85,Lackiermaschine,4290,"Glas,Stein,Kunststoff",Lackierpistole,Lackieren
Maschine 86,Drehmaschine,9904,Stein,"Bohrer,Prismenfräser",Drehen
Maschine 87,Druckmaschine,9408,"Textil,Papier,Holz","Laser,Heizelement",Lackieren
Maschine 88,Laserschneidmaschine,5612,"Metall,Verbundwerkstoff",Heizelement,"Schneiden,Bohren,Stanzen"
