Name,Hersteller,Funktion
Service 1,HAW,Diagnose
Service 2,Fraunhofer IPA,"Assistenz,Clustering"
Service 3,SOP,"Mustererkennung,Clustering,Kommunikation"
Service 4,SOP,"Assistenz,Kommunikation,Generierung"
Service 5,HAW,"Mustererkennung,Analyse"
Service 6,Fraunhofer IPA,"Optimierung,Sprachverarbeitung"
Service 7,Fraunhofer IPA,"Diagnose,Generierung"
Service 8,Fraunhofer IPA,Optimierung
Service 9,Fraunhofer IPA,"Mustererkennung,Automatisierung"
Service 10,HAW,Optimierung
Service 11,Fraunhofer IPA,Assistenz
Service 12,SOP,Ueberwachung
Service 13,SOP,"Assistenz,Ueberwachung,Generierung"
Service 14,Fraunhofer IPA,"Automatisierung,Analyse,Kommunikation"
Service 15,Fraunhofer IPA,"Sprachverarbeitung,Generierung,Clustering"
Service 16,Fraunhofer IPA,"Mustererkennung,Assistenz,Diagnose"
Service 17,HAW,Diagnose
Service 18,HAW,Optimierung
Service 19,HAW,"Automatisierung,Ueberwachung,Optimierung"
Service 20,Fraunhofer IPA,Assistenz
Service 21,HAW,"Kommunikation,Optimierung,Assistenz"
Service 22,Fraunhofer IPA,"Generierung,Sprachverarbeitung"
Service 23,SOP,Optimierung
Service 24,SOP,"Analyse,Diagnose,Kommunikation"
Service 25,HAW,Optimierung
Service 26,Fraunhofer IPA,"Sprachverarbeitung,Assistenz,Mustererkennung"
Service 27,Fraunhofer IPA,Kommunikation
Service 28,Fraunhofer IPA,Empfehlung
Service 29,Fraunhofer IPA,"Empfehlung,Ueberwachung"
Service 30,HAW,Automatisierung
Service 31,HAW,"Diagnose,Sprachverarbeitung"
Service 32,Fraunhofer IPA,Analyse
Service 33,SOP,"Analyse,Ueberwachung"
Service 34,SOP,"Assistenz,Optimierung"
Service 35,HAW,"Generierung,Diagnose"
Service 36,HAW,Ueberwachung
Service 37,HAW,"Mustererkennung,Assistenz"
Service 38,HAW,Clustering
Service 39,SOP,"Empfehlung,Ueberwachung,Optimierung"
Service 40,HAW,Generierung
Service 41,Fraunhofer IPA,"Optimierung,Automatisierung,Diagnose"
Service 42,SOP,Optimierung
Service 43,SOP,"Optimierung,Clustering"
Service 44,HAW,"Analyse,Automatisierung"
Service 45,Fraunhofer IPA,"Optimierung,Empfehlung,Assistenz"
Service 46,Fraunhofer IPA,"Sprachverarbeitung,Mustererkennung,Empfehlung"
Service 47,SOP,"Automatisierung,Mustererkennung"
Service 48,SOP,"Ueberwachung,Kommunikation,Generierung"
Service 49,SOP,"Diagnose,Optimierung,Kommunikation"
Service 50,Fraunhofer IPA,"Diagnose,Analyse,Sprachverarbeitung"
Service 51,SOP,Diagnose
Service 52,SOP,"Clustering,Assistenz"
Service 53,HAW,Clustering
Service 54,SOP,"Analyse,Assistenz,Sprachverarbeitung"
Service 55,Fraunhofer IPA,Analyse
Service 56,Fraunhofer IPA,"Generierung,Clustering,Assistenz"
Service 57,Fraunhofer IPA,Diagnose
Service 58,HAW,"Ueberwachung,Diagnose"
Service 59,HAW,"Ueberwachung,Empfehlung"
Service 60,Fraunhofer IPA,"Empfehlung,Optimierung,Sprachverarbeitung"
Service 61,SOP,"Ueberwachung,Sprachverarbeitung,Optimierung"
Service 62,Fraunhofer IPA,"Diagnose,Automatisierung"
Service 63,HAW,"Empfehlung,Diagnose,Assistenz"
Service 64,SOP,"Kommunikation,Empfehlung,Clustering"
Service 65,SOP,Optimierung
Service 66,Fraunhofer IPA,"Diagnose,Kommunikation"
Service 67,SOP,"Diagnose,Sprachverarbeitung"
Service 68,Fraunhofer IPA,"Automatisierung,Generierung,Clustering"
Service 69,HAW,"Mustererkennung,Ueberwachung,Clustering"
Service 70,SOP,Mustererkennung
Service 71,SOP,"Automatisierung,Analyse"
Service 72,Fraunhofer IPA,"Generierung,Assistenz"
Service 73,SOP,"Assistenz,Mustererkennung,Empfehlung"
Service 74,SOP,"Optimierung,Mustererkennung,Analyse"
Service 75,HAW,Empfehlung
Service 76,HAW,Ueberwachung
Service 77,HAW,"Automatisierung,Analyse,Empfehlung"
Service 78,SOP,"Empfehlung,Kommunikation,Diagnose"
Service 79,SOP,"Ueberwachung,Empfehlung,Mustererkennung"
Service 80,HAW,"Assistenz,Ueberwachung"
Service 81,Fraunhofer IPA,"Ueberwachung,Automatisierung"
Service 82,Fraunhofer IPA,"Mustererkennung,Generierung,Assistenz"
Service 83,HAW,"Sprachverarbeitung,Clustering"
Service 84,HAW,"Ueberwachung,Sprachverarbeitung,Empfehlung"
Service 85,SOP,"Analyse,Assistenz"
Service 86,SOP,"Ueberwachung,Automatisierung"
Service 87,Fraunhofer IPA,Generierung
Service 88,HAW,"Assistenz,Mustererkennung"
Service 89,HAW,"Optimierung,Kommunikation"
Service 90,SOP,"Ueberwachung,Generierung,Analyse"
Service 91,Fraunhofer IPA,"Diagnose,Mustererkennung"
Service 92,SOP,Empfehlung
Service 93,SOP,"Generierung,Analyse,Mustererkennung"
Service 94,SOP,"Analyse,Assistenz"
Service 95,SOP,Diagnose
Service 96,HAW,"Generierung,Empfehlung"
Service 97,HAW,Ueberwachung
Service 98,HAW,Generierung
Service 99,Fraunhofer IPA,"Sprachverarbeitung,Optimierung,Empfehlung"
Service 100,HAW,"Generierung,Clustering,Optimierung"
Service 101,HAW,Automatisierung
